date,visits,donations,average_donation_value,total_donation_value,month_year,conversion_rate
2023-01-31,436511,215010,102.61413043478261,21720952.71,Jan 2023,0.4926
2023-02-28,411899,197235,100.84048040455122,20175867.28,Feb 2023,0.4788
2023-03-31,432427,212739,99.91526315789474,22034783.84,Mar 2023,0.492
2023-04-30,396416,201989,102.26049382716049,20468773.14,Apr 2023,0.5095
2023-05-31,420530,207284,101.22670520231215,21157024.19,May 2023,0.4929
2023-06-30,410615,201522,102.91952029520296,21132379.86,Jun 2023,0.4908
2023-07-31,410648,206786,101.23249699879952,21209023.67,Jul 2023,0.5036
2023-08-31,421964,216807,102.5590368608799,22320668.83,Aug 2023,0.5138
2023-09-30,413274,208456,101.55653333333333,21364738.61,Sep 2023,0.5044
2023-10-31,429383,212574,98.31890697674417,21185450.61,Oct 2023,0.4951
2023-11-30,414325,201783,101.15668304668304,21118081.52,Nov 2023,0.487
2023-12-31,426253,206928,99.54650357995227,20570595.73,Dec 2023,0.4855
